read,domain,e-value
M00595:42:000000000-A5J1T:1:1115:12709:14155;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.11,2.2e-59
M00595:42:000000000-A5J1T:1:1112:10446:9596;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.4,3.7e-54
M00595:42:000000000-A5J1T:1:1119:19135:6219;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.3,2.2e-46
M00595:42:000000000-A5J1T:1:1104:12595:5344;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.1,6.6e-55
M00595:42:000000000-A5J1T:1:2113:9729:16350;sample=PMRS0009.MID02-02.P1.apr13;size=1;,DBLa0.1,3.5e-47
M00595:42:000000000-A5J1T:1:1119:20480:22494;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.8,5.2e-54
M00595:42:000000000-A5J1T:1:1114:21807:13716;sample=PMRS0476.MID31-33.P2.apr13;size=1;,DBLa1.7,1.1e-47
M00595:42:000000000-A5J1T:1:2113:15296:19570;sample=PMRS0247.MID20-20.P1.apr13;size=3;,DBLa0.23,2.7e-46
M00595:42:000000000-A5J1T:1:1107:8200:10231;sample=PMRS0208.MID16-19.P2.apr13;size=2;,DBLa0.9,5.8e-48
M00595:42:000000000-A5J1T:1:2109:21536:19233;sample=PMRS0194.MID16-16.P2.apr13;size=2;,DBLa0.12,3.3e-54
M00595:42:000000000-A5J1T:1:2104:14484:11747;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.1,4.9e-54
M00595:42:000000000-A5J1T:1:1116:15797:6317;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.5,8.2e-48
M00595:42:000000000-A5J1T:1:2118:16710:6519;sample=PMRS0394.MID26-28.P2.apr13;size=1;,DBLa0.24,2.4e-45
M00595:42:000000000-A5J1T:1:1103:10652:14638;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.21,5.3e-57
M00595:42:000000000-A5J1T:1:2109:11600:17548;sample=PMRS0301.MID22-24.P1.apr13;size=2;,DBLa1.2,1.6e-51
M00595:42:000000000-A5J1T:1:1117:12036:11137;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.10,1.5e-53
M00595:42:000000000-A5J1T:1:1116:10963:16369;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.1,5.7e-51
M00595:42:000000000-A5J1T:1:1111:18443:15473;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.8,2.1e-53
M00595:42:000000000-A5J1T:1:2115:21411:7052;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.8,2.5e-49
M00595:42:000000000-A5J1T:1:2112:13813:9303;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.9,4.6e-51
M00595:42:000000000-A5J1T:1:1109:20176:5648;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.8,2.7e-55
M00595:42:000000000-A5J1T:1:2109:24159:4984;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.5,1.4e-50
M00595:42:000000000-A5J1T:1:1110:19115:11517;sample=PMRS0486.MID32-33.P2.apr13;size=3;,DBLa0.1,1.6e-55
M00595:42:000000000-A5J1T:1:2109:24294:11347;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.4,7.2e-52
M00595:42:000000000-A5J1T:1:1117:22466:12945;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.1,4.8e-54
M00595:42:000000000-A5J1T:1:1117:13502:15609;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.8,8.9e-53
M00595:42:000000000-A5J1T:1:2106:11026:16769;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.1,5.2e-55
M00595:42:000000000-A5J1T:1:1103:15521:15138;sample=PMRS0163.MID13-15.P1.apr13;size=1;,DBLa0.9,2.6e-53
M00595:42:000000000-A5J1T:1:2105:11953:3059;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.11,3.9e-59
M00595:42:000000000-A5J1T:1:2106:4567:15040;sample=PMRS0258.MID20-22.P1.apr13;size=2;,DBLa0.8,1e-53
M00595:42:000000000-A5J1T:1:1108:9207:10057;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.7,1.8e-48
M00595:42:000000000-A5J1T:1:1101:6530:12725;sample=PMRS0084.MID06-07.P1.apr13;size=1;,DBLa0.12,2.1e-52
M00595:42:000000000-A5J1T:1:1115:21655:11897;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.8,9e-47
M00595:42:000000000-A5J1T:1:1112:18351:19304;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.5,1.6e-60
M00595:42:000000000-A5J1T:1:1102:19503:17155;sample=PMRS0258.MID20-22.P1.apr13;size=3;,DBLa0.3,4.1e-48
M00595:42:000000000-A5J1T:1:1114:19505:10209;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa0.8,5.4e-54
M00595:42:000000000-A5J1T:1:2117:3962:10637;sample=PMRS0108.MID08-08.P2.apr13;size=2;,DBLa0.9,4.9e-55
M00595:42:000000000-A5J1T:1:1103:13912:20178;sample=PMRS0242.MID19-21.P2.apr13;size=1;,DBLa0.24,1.3e-44
M00595:42:000000000-A5J1T:1:2117:21160:21149;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.12,1e-56
M00595:42:000000000-A5J1T:1:1117:16776:3647;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.1,1e-58
M00595:42:000000000-A5J1T:1:1109:26343:13177;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.23,4.5e-48
M00595:42:000000000-A5J1T:1:1110:11261:10585;sample=PMRS0390.MID26-27.P2.apr13;size=1;,DBLa0.1,1.1e-57
M00595:42:000000000-A5J1T:1:1111:4062:7825;sample=PMRS0040.MID03-04.P2.apr13;size=8;,DBLa0.6,2.1e-54
M00595:42:000000000-A5J1T:1:1107:17036:18833;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.1,6.1e-51
M00595:42:000000000-A5J1T:1:2104:9622:5445;sample=PMRS0279.MID21-22.P2.apr13;size=10;,DBLa1.8,1.8e-53
M00595:42:000000000-A5J1T:1:1104:12980:16115;sample=PMRS0108.MID08-08.P2.apr13;size=1;,DBLa1.4,1.9e-46
M00595:42:000000000-A5J1T:1:1115:13423:12807;sample=PMRS0143.MID11-11.P2.apr13;size=1;,DBLa0.18,2.3e-53
M00595:42:000000000-A5J1T:1:2116:9221:10156;sample=PMRS0426.MID28-29.P2.apr13;size=1;,DBLa0.9,2.9e-50
M00595:42:000000000-A5J1T:1:2116:24560:3626;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.12,4.4e-51
M00595:42:000000000-A5J1T:1:1112:21774:18615;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.1,4.9e-56
M00595:42:000000000-A5J1T:1:1103:26274:19052;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.3,1.1e-46
M00595:42:000000000-A5J1T:1:2118:23227:3430;sample=PMRS0179.MID14-16.P1.apr13;size=1;,DBLa0.15,1.7e-52
M00595:42:000000000-A5J1T:1:2108:20571:21556;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.1,1.5e-55
M00595:42:000000000-A5J1T:1:1112:14093:18443;sample=PMRS0079.MID05-07.P2.apr13;size=2;,DBLa0.24,1.4e-54
M00595:42:000000000-A5J1T:1:1113:24986:7791;sample=PMRS0089.MID06-08.P2.apr13;size=1;,DBLa0.8,1.9e-53
M00595:42:000000000-A5J1T:1:1102:20009:13295;sample=PMRS0540.MID34-36.P1.apr13;size=2;,DBLa0.11,8e-55
M00595:42:000000000-A5J1T:1:1109:19520:9952;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.14,7e-62
M00595:42:000000000-A5J1T:1:1111:25546:11675;sample=PMRS0084.MID06-07.P1.apr13;size=1;,DBLa0.3,2.1e-51
M00595:42:000000000-A5J1T:1:2117:28550:17320;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.5,2.5e-57
M00595:42:000000000-A5J1T:1:1117:24045:12384;sample=PMRS0181.MID15-15.P1.apr13;size=3;,DBLa0.15,2.1e-52
M00595:42:000000000-A5J1T:1:1117:6137:8271;sample=PMRS0148.MID11-14.P2.apr13;size=3;,DBLa0.23,8e-47
M00595:42:000000000-A5J1T:1:1117:5362:7723;sample=PMRS0279.MID21-22.P2.apr13;size=3;,DBLa1.7,1.5e-57
M00595:42:000000000-A5J1T:1:2108:24968:7710;sample=PMRS0254.MID20-21.P1.apr13;size=1;,DBLa1.2,4.9e-52
M00595:42:000000000-A5J1T:1:2119:20518:4193;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,1.8e-53
M00595:42:000000000-A5J1T:1:2117:20988:13398;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.5,1.1e-47
M00595:42:000000000-A5J1T:1:1104:21875:9591;sample=PMRS0007.MID01-03.P2.apr13;size=1;,DBLa0.1,7.2e-52
M00595:42:000000000-A5J1T:1:1107:17286:7524;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.10,4e-51
M00595:42:000000000-A5J1T:1:1112:15695:13747;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.1,5e-63
M00595:42:000000000-A5J1T:1:1114:15856:14169;sample=PMRS0262.MID20-22.P2.apr13;size=1;,DBLa0.11,4.4e-56
M00595:42:000000000-A5J1T:1:2109:23632:19911;sample=PMRS0423.MID28-28.P2.apr13;size=2;,DBLa0.3,7.1e-49
M00595:42:000000000-A5J1T:1:2110:15903:19271;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.8,1.1e-51
M00595:42:000000000-A5J1T:1:1102:9639:12916;sample=PMRS0004.MID01-02.P2.apr13;size=2;,DBLa0.8,5e-53
M00595:42:000000000-A5J1T:1:1102:24545:13733;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.3,3.9e-51
M00595:42:000000000-A5J1T:1:1114:13336:16755;sample=PMRS0231.MID18-20.P2.apr13;size=1;,DBLa0.1,2.2e-52
M00595:42:000000000-A5J1T:1:1109:21979:15044;sample=PMRS0207.MID16-19.P1.apr13;size=1;,DBLa0.1,2.1e-57
M00595:42:000000000-A5J1T:1:1104:16552:5167;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.3,5e-47
M00595:42:000000000-A5J1T:1:2119:11030:9231;sample=PMRS0403.MID27-27.P2.apr13;size=2;,DBLa1.5,1.3e-53
M00595:42:000000000-A5J1T:1:2108:20893:11422;sample=PMRS0377.MID25-26.P2.apr13;size=3;,DBLa1.8,1.5e-53
M00595:42:000000000-A5J1T:1:1101:6783:6826;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa1.8,6.9e-52
M00595:42:000000000-A5J1T:1:2113:18542:8952;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.12,1.1e-51
M00595:42:000000000-A5J1T:1:2118:12284:11033;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa1.8,2.6e-55
M00595:42:000000000-A5J1T:1:1102:15810:17230;sample=PMRS0034.MID03-03.P2.apr13;size=1;,DBLa0.11,2.9e-60
M00595:42:000000000-A5J1T:1:1108:15569:12654;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.9,1.6e-55
M00595:42:000000000-A5J1T:1:2108:18091:22264;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.2,2.5e-48
M00595:42:000000000-A5J1T:1:2119:10658:16680;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.1,5.1e-56
M00595:42:000000000-A5J1T:1:1102:18424:9113;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.5,3.5e-50
M00595:42:000000000-A5J1T:1:2111:4787:19706;sample=PMRS0050.MID04-04.P2.apr13;size=6;,DBLa1.7,9.1e-57
M00595:42:000000000-A5J1T:1:1115:6508:18401;sample=PMRS0465.MID31-31.P2.apr13;size=1;,DBLa0.9,1.4e-52
M00595:42:000000000-A5J1T:1:2119:14000:5155;sample=PMRS0384.MID26-26.P1.apr13;size=2;,DBLa0.9,3.2e-45
M00595:42:000000000-A5J1T:1:2103:13597:21758;sample=PMRS0004.MID01-02.P2.apr13;size=1;,DBLa0.1,6e-55
M00595:42:000000000-A5J1T:1:2118:24338:8866;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.7,7.1e-32
M00595:42:000000000-A5J1T:1:2105:8666:4600;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.11,1.2e-57
M00595:42:000000000-A5J1T:1:1113:22201:4964;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.8,3.8e-47
M00595:42:000000000-A5J1T:1:2103:19875:11942;sample=PMRS0357.MID25-25.P1.apr13;size=2;,DBLa0.12,4e-55
M00595:42:000000000-A5J1T:1:1107:22165:17432;sample=PMRS0465.MID31-31.P2.apr13;size=2;,DBLa0.8,4.2e-52
M00595:42:000000000-A5J1T:1:1105:8927:21693;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.1,8e-60
M00595:42:000000000-A5J1T:1:1107:11608:10488;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.22,6.3e-53
M00595:42:000000000-A5J1T:1:1118:17713:8537;sample=PMRS0040.MID03-04.P2.apr13;size=2;,DBLa1.8,2.2e-52
M00595:42:000000000-A5J1T:1:2113:14168:18603;sample=PMRS0179.MID14-16.P1.apr13;size=1;,DBLa0.22,8.3e-47
M00595:42:000000000-A5J1T:1:1103:7480:9961;sample=PMRS0007.MID01-03.P2.apr13;size=1;,DBLa0.24,7.9e-42
M00595:42:000000000-A5J1T:1:1118:20951:10858;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.19,3.1e-46
M00595:42:000000000-A5J1T:1:1119:14406:12462;sample=PMRS0394.MID26-28.P2.apr13;size=3;,DBLa0.3,3.1e-55
M00595:42:000000000-A5J1T:1:1102:17060:17029;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.8,1.6e-52
M00595:42:000000000-A5J1T:1:2119:21360:17519;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.9,1.1e-50
M00595:42:000000000-A5J1T:1:2116:27394:13425;sample=PMRS0089.MID06-08.P2.apr13;size=1;,DBLa0.1,1.3e-53
M00595:42:000000000-A5J1T:1:1107:11081:22623;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa1.4,8.9e-46
M00595:42:000000000-A5J1T:1:1114:28099:10909;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa2,4e-45
M00595:42:000000000-A5J1T:1:1113:12814:6359;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.1,4.3e-55
M00595:42:000000000-A5J1T:1:2106:24877:17513;sample=PMRS0167.MID13-15.P2.apr13;size=1;,DBLa0.8,1.6e-48
M00595:42:000000000-A5J1T:1:2112:6427:7729;sample=PMRS0098.MID07-08.P1.apr13;size=1;,DBLa0.21,2.4e-55
M00595:42:000000000-A5J1T:1:1104:15921:6599;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.12,1.7e-48
M00595:42:000000000-A5J1T:1:1103:18369:8920;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.24,1.1e-43
M00595:42:000000000-A5J1T:1:1101:20554:9126;sample=PMRS0004.MID01-02.P2.apr13;size=1;,DBLa0.20,1.1e-51
M00595:42:000000000-A5J1T:1:1115:16621:9789;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.12,2.5e-56
M00595:42:000000000-A5J1T:1:1102:19517:6307;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.20,3e-56
M00595:42:000000000-A5J1T:1:2117:7443:4942;sample=PMRS0433.MID29-30.P1.apr13;size=1;,DBLa0.1,2.8e-60
M00595:42:000000000-A5J1T:1:1107:23321:19954;sample=PMRS0403.MID27-27.P2.apr13;size=3;,DBLa0.19,4.7e-53
M00595:42:000000000-A5J1T:1:1106:14771:8361;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.17,2e-52
M00595:42:000000000-A5J1T:1:2104:15853:17797;sample=PMRS0377.MID25-26.P2.apr13;size=2;,DBLa0.12,2.2e-47
M00595:42:000000000-A5J1T:1:1113:10837:20960;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.14,2.4e-54
M00595:42:000000000-A5J1T:1:1115:15427:20385;sample=PMRS0425.MID28-29.P1.apr13;size=1;,DBLa0.1,7.5e-58
M00595:42:000000000-A5J1T:1:2109:22189:20825;sample=PMRS0242.MID19-21.P2.apr13;size=1;,DBLa0.1,7e-60
M00595:42:000000000-A5J1T:1:1104:4211:14070;sample=PMRS0484.MID32-32.P2.apr13;size=4;,DBLa0.18,2.7e-49
M00595:42:000000000-A5J1T:1:1112:21087:19691;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.13,9e-56
M00595:42:000000000-A5J1T:1:2115:11166:20929;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.9,4.1e-55
M00595:42:000000000-A5J1T:1:1119:18168:9071;sample=PMRS0222.MID18-18.P1.apr13;size=1;,DBLa0.8,6.2e-55
M00595:42:000000000-A5J1T:1:1116:12020:9143;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.1,1.5e-56
M00595:42:000000000-A5J1T:1:1113:25482:12724;sample=PMRS0556.MID35-37.P2.apr13;size=1;,DBLa0.8,1.9e-46
M00595:42:000000000-A5J1T:1:2103:27703:10527;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.8,4.4e-55
M00595:42:000000000-A5J1T:1:2111:8273:15976;sample=PMRS0073.MID05-06.P1.apr13;size=1;,DBLa0.19,9.8e-59
M00595:42:000000000-A5J1T:1:1118:5405:12881;sample=PMRS0279.MID21-22.P2.apr13;size=4;,DBLa1.8,6.6e-58
M00595:42:000000000-A5J1T:1:1108:20073:3447;sample=PMRS0092.MID07-07.P1.apr13;size=1;,DBLa0.1,1.9e-51
M00595:42:000000000-A5J1T:1:2119:15056:2691;sample=PMRS0503.MID33-34.P2.apr13;size=1;,DBLa0.11,2.9e-56
M00595:42:000000000-A5J1T:1:1110:18059:18294;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.9,2.9e-50
M00595:42:000000000-A5J1T:1:2115:10092:12495;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.5,2.4e-57
M00595:42:000000000-A5J1T:1:1104:13189:4980;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.1,9.3e-54
M00595:42:000000000-A5J1T:1:2114:8620:21500;sample=PMRS0412.MID27-29.P2.apr13;size=5;,DBLa0.24,9.2e-49
M00595:42:000000000-A5J1T:1:2106:5203:17038;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.1,1.5e-51
M00595:42:000000000-A5J1T:1:1117:6060:9414;sample=PMRS0129.MID10-11.P1.apr13;size=1;,DBLa0.1,3e-57
M00595:42:000000000-A5J1T:1:1107:12578:20635;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa2,4.6e-49
M00595:42:000000000-A5J1T:1:1101:19543:9634;sample=PMRS0062.MID04-05.P2.apr13;size=1;,DBLa0.6,5.4e-53
M00595:42:000000000-A5J1T:1:1118:17359:19762;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.7,2.6e-45
M00595:42:000000000-A5J1T:1:1112:27127:18316;sample=PMRS0409.MID27-29.P1.apr13;size=1;,DBLa0.1,8.7e-58
M00595:42:000000000-A5J1T:1:1111:18989:8092;sample=PMRS0379.MID25-27.P2.apr13;size=5;,DBLa1.6,2.8e-50
M00595:42:000000000-A5J1T:1:2107:22947:11785;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.21,4.1e-54
M00595:42:000000000-A5J1T:1:1104:19197:16218;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.24,4.2e-54
M00595:42:000000000-A5J1T:1:1116:15806:18034;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.1,1.2e-59
M00595:42:000000000-A5J1T:1:2114:16650:10539;sample=PMRS0471.MID31-32.P2.apr13;size=1;,DBLa0.9,2.3e-40
M00595:42:000000000-A5J1T:1:2114:16712:19356;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.1,1.7e-61
M00595:42:000000000-A5J1T:1:2116:21385:11464;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa0.1,4.6e-53
M00595:42:000000000-A5J1T:1:2114:16845:8696;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.9,4.3e-52
M00595:42:000000000-A5J1T:1:2114:10200:7445;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.16,7.4e-47
M00595:42:000000000-A5J1T:1:2106:9033:12028;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.8,2e-51
M00595:42:000000000-A5J1T:1:2106:13005:15846;sample=PMRS0354.MID24-26.P2.apr13;size=1;,DBLa0.1,9.2e-57
M00595:42:000000000-A5J1T:1:1102:23587:5106;sample=PMRS0457.MID31-31.P1.apr13;size=2;,DBLa1.8,2.5e-54
M00595:42:000000000-A5J1T:1:1119:6458:10938;sample=PMRS0307.MID23-24.P1.apr13;size=1;,DBLa0.1,7.5e-56
M00595:42:000000000-A5J1T:1:2104:14383:15264;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.5,9.2e-52
M00595:42:000000000-A5J1T:1:2116:14359:9468;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.16,4.9e-55
M00595:42:000000000-A5J1T:1:2119:17419:22572;sample=PMRS0224.MID18-19.P1.apr13;size=3;,DBLa0.8,1.8e-48
M00595:42:000000000-A5J1T:1:2103:10255:12596;sample=PMRS0403.MID27-27.P2.apr13;size=2;,DBLa0.5,2.7e-58
M00595:42:000000000-A5J1T:1:2111:19826:20830;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.1,2.9e-47
M00595:42:000000000-A5J1T:1:1103:8657:9858;sample=PMRS0373.MID25-26.P1.apr13;size=1;,DBLa0.1,1.1e-53
M00595:42:000000000-A5J1T:1:1106:12613:21356;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.13,1.4e-55
M00595:42:000000000-A5J1T:1:1109:8868:16334;sample=PMRS0121.MID10-10.P2.apr13;size=1;,DBLa0.8,4.4e-54
M00595:42:000000000-A5J1T:1:2118:12192:14901;sample=PMRS0110.MID08-10.P2.apr13;size=1;,DBLa0.1,1.4e-53
M00595:42:000000000-A5J1T:1:1106:19712:14839;sample=PMRS0020.MID02-04.P1.apr13;size=1;,DBLa1.4,1.7e-48
M00595:42:000000000-A5J1T:1:1105:25053:12250;sample=PMRS0242.MID19-21.P2.apr13;size=1;,DBLa0.1,2.8e-53
M00595:42:000000000-A5J1T:1:1109:10697:10921;sample=PMRS0318.MID23-24.P2.apr13;size=1;,DBLa0.5,1.3e-54
M00595:42:000000000-A5J1T:1:1107:16442:12141;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.18,2.6e-55
M00595:42:000000000-A5J1T:1:2117:20036:11340;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,4.2e-60
M00595:42:000000000-A5J1T:1:2110:16282:3488;sample=PMRS0302.MID22-24.P2.apr13;size=5;,DBLa1.2,8.2e-48
M00595:42:000000000-A5J1T:1:1111:23468:15322;sample=PMRS0384.MID26-26.P1.apr13;size=1;,DBLa0.9,1.8e-53
M00595:42:000000000-A5J1T:1:1113:6663:11284;sample=PMRS0352.MID24-26.P1.apr13;size=1;,DBLa0.1,9.5e-57
M00595:42:000000000-A5J1T:1:1108:21188:9196;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.11,7.5e-60
M00595:42:000000000-A5J1T:1:1108:7814:18839;sample=PMRS0484.MID32-32.P2.apr13;size=1;,DBLa0.17,3.1e-57
M00595:42:000000000-A5J1T:1:1106:25733:9012;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.8,3.2e-53
M00595:42:000000000-A5J1T:1:1111:17796:14134;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.9,6.1e-50
M00595:42:000000000-A5J1T:1:1115:25621:9745;sample=PMRS0290.MID21-23.P2.apr13;size=2;,DBLa0.12,5.5e-50
M00595:42:000000000-A5J1T:1:1116:21737:5821;sample=PMRS0089.MID06-08.P2.apr13;size=1;,DBLa0.8,9.5e-53
M00595:42:000000000-A5J1T:1:1117:11586:22928;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.12,1e-49
M00595:42:000000000-A5J1T:1:2114:16458:16744;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.23,3.2e-47
M00595:42:000000000-A5J1T:1:2118:23291:16565;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.11,5.4e-58
M00595:42:000000000-A5J1T:1:1117:15088:12561;sample=PMRS0412.MID27-29.P2.apr13;size=2;,DBLa0.1,4.1e-61
M00595:42:000000000-A5J1T:1:1102:11764:18672;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.1,5.7e-55
M00595:42:000000000-A5J1T:1:1112:17728:11277;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.17,7.1e-55
M00595:42:000000000-A5J1T:1:2110:15599:17405;sample=PMRS0073.MID05-06.P1.apr13;size=3;,DBLa0.6,2.4e-50
M00595:42:000000000-A5J1T:1:1107:24047:17197;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.8,4.8e-52
M00595:42:000000000-A5J1T:1:1114:14085:17513;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.1,1.5e-57
M00595:42:000000000-A5J1T:1:1110:16452:2548;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.8,4e-54
M00595:42:000000000-A5J1T:1:2105:20821:16788;sample=PMRS0104.MID07-10.P2.apr13;size=1;,DBLa0.13,1e-53
M00595:42:000000000-A5J1T:1:1102:11658:16574;sample=PMRS0497.MID33-33.P2.apr13;size=2;,DBLa0.18,1.1e-53
M00595:42:000000000-A5J1T:1:2110:8723:9425;sample=PMRS0347.MID24-25.P2.apr13;size=2;,DBLa0.11,6.7e-56
M00595:42:000000000-A5J1T:1:1105:20781:13741;sample=PMRS0540.MID34-36.P1.apr13;size=2;,DBLa0.4,1.6e-56
M00595:42:000000000-A5J1T:1:2105:8525:16944;sample=PMRS0427.MID28-30.P1.apr13;size=1;,DBLa0.17,1.2e-55
M00595:42:000000000-A5J1T:1:2115:10646:16609;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.1,1.9e-56
M00595:42:000000000-A5J1T:1:1115:19549:17331;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.5,3e-58
M00595:42:000000000-A5J1T:1:1104:14060:12203;sample=PMRS0254.MID20-21.P1.apr13;size=2;,DBLa0.4,3.4e-46
M00595:42:000000000-A5J1T:1:1108:15003:18602;sample=PMRS0207.MID16-19.P1.apr13;size=1;,DBLa0.1,1.3e-53
M00595:42:000000000-A5J1T:1:1103:13421:15288;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.8,1.2e-51
M00595:42:000000000-A5J1T:1:2116:8957:11835;sample=PMRS0279.MID21-22.P2.apr13;size=3;,DBLa0.7,1.3e-48
