"otu","num_isolates","domain","e-value","type"
"M00595:42:000000000-A5J1T:1:2110:16052:11197",2,"DBLa0.1",3e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16070:12364",3,"DBLa0.8",1.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16138:21545",5,"DBLa1.8",2e-52,"A"
"M00595:42:000000000-A5J1T:1:2110:16282:3488",11,"DBLa1.2",8.2e-48,"A"
"M00595:42:000000000-A5J1T:1:2110:16466:24401",2,"DBLa0.6",6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16476:14144",2,"DBLa0.1",4.5e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16524:16792",2,"DBLa0.23",1.9e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16673:18981",5,"DBLa0.9",3.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16755:14277",2,"DBLa0.1",8.1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16867:7439",2,"DBLa0.5",4.6e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16876:3096",3,"DBLa0.1",6.2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16885:19271",2,"DBLa0.1",2.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16933:24152",2,"DBLa0.8",2.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:16973:10630",2,"DBLa0.9",1.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17053:21380",5,"DBLa0.1",1.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17202:16883",2,"DBLa0.8",2.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17247:18900",2,"DBLa0.9",2.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17248:11965",2,"DBLa0.1",3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17284:9380",3,"DBLa0.19",4.5e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17375:3210",3,"DBLa0.5",2.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17385:20354",2,"DBLa0.1",8.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17413:13364",5,"DBLa0.6",1.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17444:7659",2,"DBLa0.1",7.3e-61,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17479:5622",11,"DBLa0.23",3.8e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17730:9811",3,"DBLa0.11",1.1e-63,"B/C"
"M00595:42:000000000-A5J1T:1:2110:17766:22291",3,"DBLa0.8",2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18067:16526",2,"DBLa0.9",2.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18132:23227",2,"DBLa0.8",7.6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18214:8669",2,"DBLa0.7",1.1e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18290:21519",4,"DBLa1.8",2.4e-58,"A"
"M00595:42:000000000-A5J1T:1:2110:18467:15809",3,"DBLa0.4",4.3e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18497:6210",2,"DBLa0.7",7.5e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18548:23914",2,"DBLa0.9",1.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18679:14219",2,"DBLa0.12",5.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18703:18641",2,"DBLa0.1",2.2e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18739:9141",2,"DBLa0.11",4.3e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18796:14422",3,"DBLa0.11",6.7e-62,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18819:11266",6,"DBLa0.23",2e-43,"B/C"
"M00595:42:000000000-A5J1T:1:2110:18827:15923",4,"DBLa0.5",4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:19157:7144",3,"DBLa0.12",1.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:19173:4096",2,"DBLa0.11",2.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:19766:3863",2,"DBLa0.1",7.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:19831:11651",2,"DBLa2",3.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20028:12282",2,"DBLa0.8",2.7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20112:17819",4,"DBLa0.1",8.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20116:20580",2,"DBLa0.1",2.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20136:17390",6,"DBLa0.23",7.5e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20436:5784",4,"DBLa0.7",1.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20471:9217",2,"DBLa0.20",1.7e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20517:5222",2,"DBLa0.8",1.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20688:9623",2,"DBLa0.1",4.7e-63,"B/C"
"M00595:42:000000000-A5J1T:1:2110:20990:18894",2,"DBLa0.1",2.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21117:3244",10,"DBLa0.3",4.6e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21423:22991",7,"DBLa1.8",6.9e-54,"A"
"M00595:42:000000000-A5J1T:1:2110:21511:21762",8,"DBLa0.1",2.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21517:16271",2,"DBLa0.10",1.3e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21530:13437",2,"DBLa0.8",4.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21627:15893",3,"DBLa1.2",9.7e-55,"A"
"M00595:42:000000000-A5J1T:1:2110:21645:22340",2,"DBLa0.12",7.9e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21692:18237",4,"DBLa0.6",1.1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:21983:16366",4,"DBLa0.1",6.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22017:17460",2,"DBLa0.16",3.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22103:16088",2,"DBLa0.1",2.4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22232:8766",2,"DBLa0.1",7.9e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22258:5251",2,"DBLa0.11",1e-62,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22317:15097",4,"DBLa0.4",3.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22405:19702",2,"DBLa0.23",4.2e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22695:13479",4,"DBLa0.8",3.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22708:19082",3,"DBLa0.5",8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:22976:12104",2,"DBLa0.5",3.7e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2110:23055:17228",2,"DBLa0.19",1.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:23182:4051",2,"DBLa0.11",2.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:23366:15812",2,"DBLa0.1",2.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:23667:9979",2,"DBLa0.8",2.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:23703:8796",5,"DBLa0.11",1.4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24233:8212",5,"DBLa0.9",1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24292:20197",4,"DBLa0.8",1.5e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24431:15054",2,"DBLa0.12",4.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24446:8109",3,"DBLa0.10",1.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24765:15097",2,"DBLa0.21",1.3e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24862:6191",3,"DBLa0.8",1.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2110:24930:10442",2,"DBLa0.14",6.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:25094:11824",3,"DBLa0.24",4.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:25297:10919",2,"DBLa0.11",1e-36,"B/C"
"M00595:42:000000000-A5J1T:1:2110:25574:11872",2,"DBLa0.17",7.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:25772:4307",3,"DBLa0.24",3.1e-34,"B/C"
"M00595:42:000000000-A5J1T:1:2110:25965:13952",12,"DBLa1.8",1.1e-54,"A"
"M00595:42:000000000-A5J1T:1:2110:25989:16611",2,"DBLa0.11",3.2e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2110:26320:6388",2,"DBLa0.3",5.1e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2110:27521:12726",2,"DBLa0.11",1.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:28137:9740",8,"DBLa1.6",4.4e-43,"A"
"M00595:42:000000000-A5J1T:1:2110:28186:7713",2,"DBLa0.9",2.4e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:28878:13261",4,"DBLa0.9",1.1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:28958:10834",2,"DBLa0.14",1.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2110:4359:18178",3,"DBLa0.5",1.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:4517:10996",3,"DBLa0.8",2.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:4538:17114",2,"DBLa0.9",3.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:5052:17347",2,"DBLa0.15",4.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:5304:12427",3,"DBLa0.18",4.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:5910:12489",2,"DBLa0.3",1.5e-41,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6030:12876",2,"DBLa0.18",1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6038:7092",2,"DBLa0.1",2.2e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6354:11856",2,"DBLa1.8",4.3e-52,"A"
"M00595:42:000000000-A5J1T:1:2110:6372:7948",3,"DBLa0.8",2.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6482:19241",2,"DBLa0.22",5.3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6769:11552",2,"DBLa0.10",6.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6784:16479",3,"DBLa1.4",3.9e-51,"A"
"M00595:42:000000000-A5J1T:1:2110:6858:19227",2,"DBLa0.23",7.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:6994:11756",5,"DBLa1.8",2.6e-59,"A"
"M00595:42:000000000-A5J1T:1:2110:7240:14846",2,"DBLa0.1",4.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7408:18711",4,"DBLa0.9",5.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7566:8921",2,"DBLa0.1",6.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7615:5789",4,"DBLa0.3",1.3e-48,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7859:8090",4,"DBLa0.9",1.2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7865:3768",3,"DBLa0.8",1.8e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7957:16789",2,"DBLa0.14",3.5e-48,"B/C"
"M00595:42:000000000-A5J1T:1:2110:7999:8322",4,"DBLa0.11",1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8024:8885",20,"DBLa0.22",3.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8231:13211",2,"DBLa0.22",1.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8403:19733",5,"DBLa0.12",8.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8723:9425",2,"DBLa0.11",6.7e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8740:16448",2,"DBLa0.11",1.5e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8939:7804",3,"DBLa0.19",3.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:8986:17556",5,"DBLa1.2",1.4e-53,"A"
"M00595:42:000000000-A5J1T:1:2110:9247:15091",2,"DBLa0.8",6.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2110:9530:10157",8,"DBLa1.2",6.9e-55,"A"
"M00595:42:000000000-A5J1T:1:2110:9546:15434",3,"DBLa0.5",3.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10044:19659",9,"DBLa0.10",1.4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10070:5313",4,"DBLa0.19",1.3e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10087:15107",2,"DBLa1.5",2.4e-46,"A"
"M00595:42:000000000-A5J1T:1:2111:10336:8017",3,"DBLa0.9",2.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10490:5451",9,"DBLa0.4",1.9e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10510:11442",2,"DBLa0.11",1.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10581:17050",4,"DBLa0.3",5.7e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10615:9096",2,"DBLa0.12",3.8e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10822:17169",3,"DBLa0.12",8.1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:10837:22560",7,"DBLa1.2",2.8e-54,"A"
"M00595:42:000000000-A5J1T:1:2111:11078:4194",3,"DBLa0.1",5.2e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11113:12266",2,"DBLa0.12",5.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11137:19121",2,"DBLa0.1",3.2e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11216:5176",2,"DBLa0.23",2.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11544:20689",2,"DBLa0.1",7.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11596:7464",3,"DBLa0.19",5.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11702:10665",3,"DBLa0.24",2e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11832:6932",2,"DBLa0.23",6.1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11936:11750",3,"DBLa0.4",1.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:11961:20464",5,"DBLa1.8",3.3e-54,"A"
"M00595:42:000000000-A5J1T:1:2111:11978:7928",3,"DBLa0.1",5.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12367:18278",3,"DBLa0.6",5.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12561:16221",3,"DBLa0.1",1.9e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12611:15563",4,"DBLa0.18",5.1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12704:23741",3,"DBLa0.6",6.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12754:17999",3,"DBLa0.9",1.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12800:15319",2,"DBLa0.1",1.9e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12801:12420",2,"DBLa0.8",6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:12984:15864",2,"DBLa0.18",5.4e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13036:16640",5,"DBLa0.1",1.9e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13310:18222",8,"DBLa0.3",1.1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13363:8759",2,"DBLa0.1",4.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13415:7944",6,"DBLa0.24",1.3e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13456:20793",3,"DBLa0.12",1.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:13674:8228",7,"DBLa1.2",2.6e-47,"A"
"M00595:42:000000000-A5J1T:1:2111:13708:19554",2,"DBLa0.19",3.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14191:3892",2,"DBLa0.9",4.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14388:3171",2,"DBLa0.5",1.4e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14395:6034",4,"DBLa0.11",2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14431:18451",2,"DBLa0.11",2.2e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14559:6259",3,"DBLa0.19",1.7e-45,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14684:20863",2,"DBLa0.24",2.2e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14732:20479",2,"DBLa0.5",4.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14775:15020",3,"DBLa0.1",4.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14809:16994",2,"DBLa0.11",2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:14861:3275",2,"DBLa0.1",3e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15002:12137",2,"DBLa0.9",1.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15044:13865",2,"DBLa0.1",2.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15114:6563",2,"DBLa0.8",1.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15206:9949",2,"DBLa0.24",1.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15241:6112",2,"DBLa0.5",1.7e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15247:16419",3,"DBLa1.5",2.8e-47,"A"
"M00595:42:000000000-A5J1T:1:2111:15248:3443",2,"DBLa0.1",1.5e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15302:13443",2,"DBLa0.22",4.5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15381:1664",5,"DBLa0.3",7.3e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15458:9977",3,"DBLa0.1",1.1e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15569:3565",5,"DBLa0.20",3.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15693:3778",3,"DBLa0.9",2.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:15819:23333",4,"DBLa0.1",4.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16000:20560",2,"DBLa0.19",3.6e-31,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16216:16055",2,"DBLa0.8",1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16220:9170",3,"DBLa0.17",1e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16261:23249",2,"DBLa1.8",2.3e-59,"A"
"M00595:42:000000000-A5J1T:1:2111:16328:11253",8,"DBLa1.8",2.5e-57,"A"
"M00595:42:000000000-A5J1T:1:2111:16466:7679",5,"DBLa0.24",2.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16498:1804",3,"DBLa0.4",3.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16536:6679",2,"DBLa0.5",2.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16624:15404",2,"DBLa1.8",1.1e-58,"A"
"M00595:42:000000000-A5J1T:1:2111:16724:15126",3,"DBLa0.1",4.3e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16743:2903",3,"DBLa0.1",1e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16853:5103",3,"DBLa0.21",2.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:16933:16858",4,"DBLa0.7",5.1e-43,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17021:3395",2,"DBLa0.11",2.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17125:19144",3,"DBLa1.2",3.8e-53,"A"
"M00595:42:000000000-A5J1T:1:2111:17332:11086",2,"DBLa0.21",8.6e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17385:15390",2,"DBLa0.3",2.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17552:5748",5,"DBLa0.1",5.2e-63,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17759:8682",7,"DBLa0.7",7.2e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17846:14598",4,"DBLa0.5",2.2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17897:7406",2,"DBLa0.1",6.1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:17985:9425",4,"DBLa0.22",3.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18086:1811",3,"DBLa0.9",3.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18108:7788",3,"DBLa0.1",3.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18159:16725",2,"DBLa0.24",4.9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18407:2687",2,"DBLa0.8",1.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18563:8435",2,"DBLa0.8",1.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18621:13100",2,"DBLa0.15",1.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18758:18963",7,"DBLa0.1",2.3e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:18812:12663",5,"DBLa1.8",5.7e-56,"A"
"M00595:42:000000000-A5J1T:1:2111:18969:7764",2,"DBLa0.17",2.1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19120:15972",2,"DBLa1.8",7.3e-53,"A"
"M00595:42:000000000-A5J1T:1:2111:19189:7414",2,"DBLa0.11",1.3e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19256:15137",2,"DBLa0.24",1.9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19414:11416",5,"DBLa0.1",6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19564:12347",2,"DBLa0.5",1.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19773:19371",2,"DBLa1.8",1.2e-53,"A"
"M00595:42:000000000-A5J1T:1:2111:19907:12688",8,"DBLa0.1",3.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19910:13316",3,"DBLa0.8",5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:19951:20315",2,"DBLa0.5",5.9e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20232:10878",2,"DBLa0.6",3.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20315:23779",2,"DBLa0.1",6.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20410:11519",5,"DBLa0.1",2.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20459:16914",5,"DBLa0.4",2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20529:5988",5,"DBLa0.23",2.3e-33,"B/C"
"M00595:42:000000000-A5J1T:1:2111:20563:14953",5,"DBLa0.5",4.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21024:22888",2,"DBLa0.3",1.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21273:1777",2,"DBLa0.8",2.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21323:10161",2,"DBLa0.9",6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21450:13293",2,"DBLa0.11",6.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21467:6300",3,"DBLa2",2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:21946:18940",2,"DBLa0.1",4.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:22106:9771",8,"DBLa0.18",9.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:22302:6621",2,"DBLa1.8",1.9e-54,"A"
"M00595:42:000000000-A5J1T:1:2111:22334:16119",2,"DBLa0.9",9.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:22553:18291",38,"DBLa0.1",2.1e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:22872:4010",2,"DBLa0.1",2.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23006:17115",2,"DBLa0.11",1.6e-59,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23043:8085",6,"DBLa0.21",4.5e-49,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23053:16232",2,"DBLa0.1",6e-46,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23195:12389",2,"DBLa0.22",3.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23335:9612",2,"DBLa0.5",3.3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23571:20189",3,"DBLa0.1",7.9e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23627:11032",8,"DBLa1.5",2.8e-50,"A"
"M00595:42:000000000-A5J1T:1:2111:23681:16137",3,"DBLa0.8",3.1e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23943:15427",2,"DBLa0.14",4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:23963:8574",2,"DBLa0.1",3.1e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24165:9711",2,"DBLa0.23",9.9e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24331:5611",2,"DBLa0.8",2.2e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24422:15231",2,"DBLa0.24",5e-44,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24461:18026",2,"DBLa0.1",2.2e-60,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24508:19107",6,"DBLa0.7",3.3e-48,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24710:17157",2,"DBLa0.7",1e-47,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24716:6882",2,"DBLa0.11",3.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:2111:24775:10856",2,"DBLa0.5",3.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25158:9224",5,"DBLa0.8",6.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25208:9190",5,"DBLa0.12",4.4e-58,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25248:17379",5,"DBLa0.8",1.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25398:12998",4,"DBLa0.1",5e-56,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25435:9330",3,"DBLa0.5",5.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:25480:7501",6,"DBLa0.8",1.3e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:26041:9394",4,"DBLa0.15",1.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:2111:26156:12263",3,"DBLa0.8",3.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:2111:26195:10489",2,"DBLa0.8",3.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:2111:26309:18735",2,"DBLa0.8",3.5e-53,"B/C"
